1,Toy Story (1995),,,,,,,
2,Jumanji (1995),,,,,,,
3,Grumpier Old Men (1995),,,,,,,
4,Waiting to Exhale (1995),,,,,,,
5,Father of the Bride Part II (1995),,,,,,,
6,Heat (1995),,,,,,,
7,Sabrina (1995),,,,,,,
8,Tom and Huck (1995),,,,,,,
9,Sudden Death (1995),,,,,,,
10,GoldenEye (1995),,,,,,,
11,American President The (1995),,,,,,,
12,Dracula: Dead and Loving It (1995),,,,,,,
13,Balto (1995),,,,,,,
14,Nixon (1995),,,,,,,
15,Cutthroat Island (1995),,,,,,,
16,Casino (1995),,,,,,,
17,Sense and Sensibility (1995),,,,,,,
18,Four Rooms (1995),,,,,,,
19,Ace Ventura: When Nature Calls (1995),,,,,,,
20,Money Train (1995),,,,,,,
21,Get Shorty (1995),,,,,,,
22,Copycat (1995),,,,,,,
23,Assassins (1995),,,,,,,
24,Powder (1995),,,,,,,
25,Leaving Las Vegas (1995),,,,,,,
26,Othello (1995),,,,,,,
27,Now and Then (1995),,,,,,,
28,Persuasion (1995),,,,,,,
29,City of Lost Children The (Cité des enfants perdus La) (1995),,,,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),,,,,,,
31,Dangerous Minds (1995),,,,,,,
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),,,,,,,
33,Babe (1995),,,,,,,
34,Carrington (1995),,,,,,,
35,Dead Man Walking (1995),,,,,,,
36,Across the Sea of Time (1995),,,,,,,
37,It Takes Two (1995),,,,,,,
38,Clueless (1995),,,,,,,
39,Cry the Beloved Country (1995),,,,,,,
40,Richard III (1995),,,,,,,
41,Dead Presidents (1995),,,,,,,
42,Restoration (1995),,,,,,,
43,Mortal Kombat (1995),,,,,,,
44,To Die For (1995),,,,,,,
45,How to Make an American Quilt (1995),,,,,,,
46,Seven (a.k.a. Se7en) (1995),,,,,,,
47,Pocahontas (1995),,,,,,,
48,When Night Is Falling (1995),,,,,,,
49,Usual Suspects The (1995),,,,,,,
50,Mighty Aphrodite (1995),,,,,,,
51,Lamerica (1994),,,,,,,
52,Big Green The (1995),,,,,,,
53,Georgia (1995),,,,,,,
54,Home for the Holidays (1995),,,,,,,
55,Postman The (Postino Il) (1994),,,,,,,
56,Confessional The (Confessionnal Le) (1995),,,,,,,
57,Indian in the Cupboard The (1995),,,,,,,
58,Eye for an Eye (1996),,,,,,,
59,Mr. Holland's Opus (1995),,,,,,,
60,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),,,,,,,
61,Two if by Sea (1996),,,,,,,
62,Bio-Dome (1996),,,,,,,
63,Lawnmower Man 2: Beyond Cyberspace (1996),,,,,,,
64,French Twist (Gazon maudit) (1995),,,,,,,
65,Friday (1995),,,,,,,
66,From Dusk Till Dawn (1996),,,,,,,
67,Fair Game (1995),,,,,,,
68,Kicking and Screaming (1995),,,,,,,
69,Misérables Les (1995),,,,,,,
70,Bed of Roses (1996),,,,,,,
71,Screamers (1995),,,,,,,
72,Nico Icon (1995),,,,,,,
73,Crossing Guard The (1995),,,,,,,
74,Juror The (1996),,,,,,,
75,White Balloon The (Badkonake sefid) (1995),,,,,,,
76,Things to Do in Denver When You're Dead (1995),,,,,,,
77,Antonia's Line (Antonia) (1995),,,,,,,
78,Once Upon a Time... When We Were Colored (1995),,,,,,,
79,Last Summer in the Hamptons (1995),,,,,,,
80,Angels and Insects (1995),,,,,,,
81,White Squall (1996),,,,,,,
82,Dunston Checks In (1996),,,,,,,
83,Black Sheep (1996),,,,,,,
84,Nick of Time (1995),,,,,,,
85,Mary Reilly (1996),,,,,,,
86,Vampire in Brooklyn (1995),,,,,,,
87,Beautiful Girls (1996),,,,,,,
88,Broken Arrow (1996),,,,,,,
89,In the Bleak Midwinter (1995),,,,,,,
90,Hate (Haine La) (1995),,,,,,,
91,Shopping (1994),,,,,,,
92,Heidi Fleiss: Hollywood Madam (1995),,,,,,,
93,City Hall (1996),,,,,,,
94,Bottle Rocket (1996),,,,,,,
95,Mr. Wrong (1996),,,,,,,
96,Unforgettable (1996),,,,,,,
97,Happy Gilmore (1996),,,,,,,
98,Bridges of Madison County The (1995),,,,,,,
99,Muppet Treasure Island (1996),,,,,,,
100,Catwalk (1996),,,,,,,
101,Braveheart (1995),,,,,,,
102,Taxi Driver (1976),,,,,,,
103,Rumble in the Bronx (Hont faan kui) (1995),,,,,,,
104,Before and After (1996),,,,,,,
105,Margaret's Museum (1995),,,,,,,
106,Anne Frank Remembered (1995),,,,,,,
107,Young Poisoner's Handbook The (1995),,,,,,,
108,If Lucy Fell (1996),,,,,,,
109,Steal Big Steal Little (1995),,,,,,,
110,Boys of St. Vincent The (1992),,,,,,,
111,Boomerang (1992),,,,,,,
112,Chungking Express (Chung Hing sam lam) (1994),,,,,,,
113,Star Maker The (Uomo delle stelle L') (1995),,,,,,,
