1,Adventure|Animation|Children|Comedy|Fantasy
2,Adventure|Children|Fantasy
3,Comedy|Romance
4,Comedy|Drama|Romance
5,Comedy
6,Action|Crime|Thriller
7,Comedy|Romance
8,Adventure|Children
9,Action
10,Action|Adventure|Thriller
11,Comedy|Drama|Romance
12,Comedy|Horror
13,Adventure|Animation|Children
14,Drama
15,Action|Adventure|Romance
16,Crime|Drama
17,Drama|Romance
18,Comedy
19,Comedy
20,Action|Comedy|Crime|Drama|Thriller
21,Comedy|Crime|Thriller
22,Crime|Drama|Horror|Mystery|Thriller
23,Action|Crime|Thriller
24,Drama|Sci-Fi
25,Drama|Romance
26,Drama
27,Children|Drama
28,Drama|Romance
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Crime|Drama
31,Drama
32,Mystery|Sci-Fi|Thriller
33,Children|Drama
34,Drama|Romance
35,Crime|Drama
36,Documentary|IMAX
37,Children|Comedy
38,Comedy|Romance
39,Drama
40,Drama|War
41,Action|Crime|Drama
42,Drama
43,Action|Adventure|Fantasy
44,Comedy|Drama|Thriller
45,Drama|Romance
46,Mystery|Thriller
47,Animation|Children|Drama|Musical|Romance
48,Drama|Romance
49,Crime|Mystery|Thriller
50,Comedy|Drama|Romance
51,Adventure|Drama
52,Children|Comedy
53,Drama
54,Drama
55,Comedy|Drama|Romance
56,Drama|Mystery
57,Adventure|Children|Fantasy
58,Drama|Thriller
59,Drama
60,Comedy|Crime
61,Comedy|Romance
62,Comedy
63,Action|Sci-Fi|Thriller
64,Comedy|Romance
65,Comedy
66,Action|Comedy|Horror|Thriller
67,Action
68,Comedy|Drama
69,Drama|War
70,Drama|Romance
71,Action|Sci-Fi|Thriller
72,Documentary
73,Action|Crime|Drama|Thriller
74,Drama|Thriller
75,Children|Drama
76,Crime|Drama|Romance
77,Comedy|Drama
78,Drama|Romance
79,Comedy|Drama
80,Drama|Romance
81,Action|Adventure|Drama
82,Children|Comedy
83,Comedy
84,Action|Thriller
85,Drama|Horror|Thriller
86,Comedy|Horror|Romance
87,Comedy|Drama|Romance
88,Action|Adventure|Thriller
89,Comedy|Drama
90,Crime|Drama
91,Action|Thriller
92,Documentary
93,Drama|Thriller
94,Adventure|Comedy|Crime|Romance
95,Comedy
96,Mystery|Sci-Fi|Thriller
97,Comedy
98,Drama|Romance
99,Adventure|Children|Comedy|Musical
100,Documentary
101,Action|Drama|War
102,Crime|Drama|Thriller
103,Action|Adventure|Comedy|Crime
104,Drama|Mystery
105,Drama
106,Documentary
107,Crime|Drama
108,Comedy|Romance
109,Comedy
110,Drama
111,Comedy|Romance
112,Drama|Mystery|Romance
113,Drama
114,Comedy
115,Adventure|Children|Fantasy
116,Comedy|Romance
117,Drama
118,Drama|Romance
119,Thriller
120,Comedy
121,Documentary
122,Drama|Romance
123,Comedy
124,Comedy
125,Action|Comedy|Crime|Drama|Thriller
126,Adventure|Children
127,Drama
128,Drama
129,Crime|Drama|Thriller
130,Adventure|Drama|IMAX
131,Action|Drama|Romance|War
132,Drama|Horror
133,Action|Adventure|Comedy|Crime
134,Drama
135,Adventure|Drama|War
136,Comedy|Drama
137,Comedy|War
138,Adventure|Children
139,Crime|Drama|Mystery
