1,4,,,,
2,1,,,,
3,3.5,,,,
4,2,,,,
5,0.5,,,,
6,2.5,,,,
7,2.5,,,,
8,3.5,,,,
9,3,,,,
10,4.5,,,,
11,3,,,,
12,1.5,,,,
13,5,,,,
14,4,,,,
15,2,,,,
16,3.5,,,,
17,1.5,,,,
18,2,,,,
19,2.5,,,,
20,4.5,,,,
21,5,,,,
22,0.5,,,,
23,0.5,,,,
24,3.5,,,,
25,3,,,,
26,5,,,,
27,0.5,,,,
28,0.5,,,,
29,5,,,,
30,4.5,,,,
31,0.5,,,,
32,4,,,,
33,0.5,,,,
34,4,,,,
35,2.5,,,,
36,3.5,,,,
37,4,,,,
38,1.5,,,,
39,1,,,,
40,1,,,,
41,1.5,,,,
42,3,,,,
43,1.5,,,,
44,2,,,,
45,4,,,,
46,3,,,,
47,3,,,,
48,4.5,,,,
49,1.5,,,,
50,5,,,,
51,3.5,,,,
52,0.5,,,,
53,4,,,,
54,0.5,,,,
55,4,,,,
56,2.5,,,,
57,4,,,,
58,3.5,,,,
59,2.5,,,,
60,2.5,,,,
61,3,,,,
62,4,,,,
63,5,,,,
64,2.5,,,,
65,2.5,,,,
66,3,,,,
67,1.5,,,,
68,4,,,,
69,2.5,,,,
70,0.5,,,,
71,1,,,,
72,5,,,,
73,5,,,,
74,2.5,,,,
75,2.5,,,,
76,5,,,,
77,1,,,,
78,1.5,,,,
79,4,,,,
80,4,,,,
81,1.5,,,,
82,4,,,,
83,4.5,,,,
84,2,,,,
85,1,,,,
86,4.5,,,,
87,4,,,,
88,2.5,,,,
89,5,,,,
90,2,,,,
91,2.5,,,,
92,3.5,,,,
93,5,,,,
94,4,,,,
95,1,,,,
96,2.5,,,,
97,1,,,,
98,1,,,,
99,0.5,,,,
100,5,,,,
101,4,,,,
102,3,,,,
103,4,,,,
104,5,,,,
105,1.5,,,,
106,5,,,,
107,4.5,,,,
108,1.5,,,,
109,2.5,,,,
110,0.5,,,,
111,2.5,,,,
112,2.5,,,,
113,5,,,,
114,4.5,,,,
115,2.5,,,,
116,4,,,,
117,1,,,,
118,3.5,,,,
119,3,,,,
120,2,,,,
121,2.5,,,,
122,0.5,,,,
123,1,,,,
124,5,,,,
125,4,,,,
126,3.5,,,,
127,3,,,,
128,4,,,,
129,2.5,,,,
130,4,,,,
131,3,,,,
132,1,,,,
133,0.5,,,,
134,1.5,,,,
135,3.5,,,,
136,2.5,,,,
137,1,,,,
138,5,,,,
139,4.5,,,,
140,2,,,,
141,5,,,,
142,3.5,,,,
143,5,,,,
144,0.5,,,,
145,0.5,,,,
146,4.5,,,,
147,0.5,,,,
148,2.5,,,,
149,0.5,,,,
150,1.5,,,,
151,0.5,,,,
152,3,,,,
153,3.5,,,,
154,2,,,,
155,3.5,,,,
156,1,,,,
157,0.5,,,,
158,1.5,,,,
159,4,,,,
160,1,,,,
161,0.5,,,,
162,3.5,,,,
163,4,,,,
164,4.5,,,,
165,3.5,,,,
166,2,,,,
167,3.5,,,,
168,1,,,,
169,3,,,,
170,3.5,,,,
171,0.5,,,,
172,1,,,,
173,2,,,,
174,0.5,,,,
175,3.5,,,,
176,1.5,,,,
177,5,,,,
178,2,,,,
179,4,,,,
180,1.5,,,,
181,4,,,,
182,0.5,,,,
183,4.5,,,,
184,5,,,,
185,4,,,,
186,2,,,,
187,1,,,,
188,5,,,,
189,4,,,,
190,4.5,,,,
191,4.5,,,,
192,2.5,,,,
193,3.5,,,,
194,3.5,,,,
195,5,,,,
196,0.5,,,,
197,3.5,,,,
198,4,,,,
199,0.5,,,,
200,4.5,,,,
201,1,,,,
202,4.5,,,,
203,1.5,,,,
204,4,,,,
205,0.5,,,,
206,2,,,,
207,2,,,,
208,4.5,,,,
209,4.5,,,,
210,1.5,,,,
211,1,,,,
212,4.5,,,,
213,3,,,,
214,3,,,,
215,5,,,,
216,2,,,,
217,4,,,,
218,2,,,,
219,0.5,,,,
220,2,,,,
221,1,,,,
222,1,,,,
223,2.5,,,,
224,3,,,,
225,5,,,,
226,1,,,,
227,4.5,,,,
228,5,,,,
229,2.5,,,,
230,0.5,,,,
231,2.5,,,,
232,5,,,,
233,2.5,,,,
234,5,,,,
235,1.5,,,,
236,3.5,,,,
237,2,,,,
238,0.5,,,,
239,2.5,,,,
240,5,,,,
241,5,,,,
242,2.5,,,,
243,5,,,,
244,0.5,,,,
245,5,,,,
246,0.5,,,,
247,5,,,,
248,2,,,,
249,1.5,,,,
